Year,Production,State,Mineral Type,Gold(t),Production(normalised)
1905,6400.8,TAS,Iron Ore,,7.02547E-06
2007,6417.5,VIC,Gold,7.075561688,0.001121887
1875,6426.1,NSW,Gold,7.085005182,0.001123384
1895,6441.1,WA,Gold,7.101566703,0.00112601
1954,6482.1,TAS,Iron Ore,,7.11468E-06
1851,6514.9,VIC,Gold,7.182934179,0.001138912
2014,6572.9,VIC,Gold,7.246903565,0.001149054
1974,6584.0,WA,Gold,7.259095921,0.001150988
2000,6679.5,TAS,Gold,7.364400697,0.001167685
1955,6687.3,TAS,Iron Ore,,7.33994E-06
1916,6691.5,QLD,Gold,7.377660639,0.001169787
2008,6713.8,SA,Gold,7.402249469,0.001173686
2006,6746.4,SA,Gold,7.438162313,0.00117938
1885,6760.5,TAS,Coal,,7.42023E-06
1870,6816.5,NSW,Gold,7.515433297,0.001191632
1985,6863.0,NSW,Iron Ore,,7.53278E-06
1891,6907.8,SA,Iron Ore,,7.58193E-06
1880,6917.9,QLD,Gold,7.627249283,0.001209361
2007,6922.4,SA,Gold,7.632153718,0.001210139
1904,6949.4,TAS,Iron Ore,,7.62765E-06
1908,6991.0,NSW,Gold,7.707862404,0.001222143
1881,7010.9,QLD,Gold,7.729772988,0.001225617
2015,7013.6,VIC,Gold,7.732796746,0.001226097
1975,7105.0,WA,Gold,7.833517089,0.001242067
1869,7132.3,NSW,Gold,7.863602426,0.001246837
1986,7279.0,NSW,Iron Ore,,7.98937E-06
1868,7282.5,NSW,Gold,8.029217641,0.001273097
1884,7309.1,TAS,Coal,,8.02242E-06
1948,7337.6,WA,Iron Ore,,8.05364E-06
1981,7378.0,NSW,Iron Ore,,8.09804E-06
1905,7460.5,NSW,Iron Ore,,8.18857E-06
1965,7475.0,QLD,Iron Ore,,8.2045E-06
1965,7475.0,VIC,Iron Ore,,8.2045E-06
1976,7479.0,WA,Gold,8.245865491,0.001307448
1879,7572.1,QLD,Gold,8.348481257,0.001323718
2009,7599.1,VIC,Gold,8.378322419,0.00132845
1994,7601.8,NSW,Gold,8.381305865,0.001328923
1874,7626.2,NSW,Gold,8.408212459,0.001333189
1907,7693.0,NSW,Gold,8.481796362,0.001344857
1867,7713.8,NSW,Gold,8.504769901,0.001348499
1914,7758.5,QLD,Gold,8.553974421,0.001356301
1915,7766.0,QLD,Gold,8.562306615,0.001357622
1884,7778.9,QLD,Gold,8.576570783,0.001359884
1885,7779.3,QLD,Gold,8.576913671,0.001359938
1853,7783.0,TAS,Coal,,8.54256E-06
1896,7825.4,WA,Gold,8.627729768,0.001367996
1900,7840.8,NSW,Gold,8.644771334,0.001370698
1875,7842.5,TAS,Coal,,8.60787E-06
1896,7858.7,NSW,Gold,8.664453142,0.001373818
1906,7899.0,NSW,Gold,8.708925799,0.00138087
1903,7907.5,NSW,Gold,8.718286659,0.001382354
2016,7975.0,VIC,Gold,8.792715333,0.001394155
1916,7981.6,VIC,Gold,8.799997023,0.00139531
1854,8000.0,TAS,Coal,,8.78074E-06
1855,8000.0,TAS,Coal,,8.78074E-06
1856,8000.0,TAS,Coal,,8.78074E-06
1857,8000.0,TAS,Coal,,8.78074E-06
1858,8000.0,TAS,Coal,,8.78074E-06
1859,8000.0,TAS,Coal,,8.78074E-06
1860,8000.0,TAS,Coal,,8.78074E-06
2021,8000.0,SA,Coal,,8.78074E-06
1972,8032.0,NT,Gold,8.855567806,0.001404121
1990,8052.0,NSW,Gold,8.877618523,0.001407617
1858,8084.3,NSW,Gold,8.913218853,0.001413262
1897,8085.3,NSW,Gold,8.914350386,0.001413442
1993,8111.8,NSW,Gold,8.943568864,0.001418074
1866,8173.8,NSW,Gold,9.011936494,0.001428915
1913,8264.4,QLD,Gold,9.111751378,0.001444741
1872,8271.3,TAS,Coal,,9.07847E-06
2005,8336.3,TAS,Gold,9.191030809,0.001457311
1932,8363.7,QLD,Iron Ore,,9.17995E-06
1932,8363.7,VIC,Iron Ore,,9.17995E-06
1904,8391.3,NSW,Gold,9.251718523,0.001466934
1878,8414.2,QLD,Gold,9.276989416,0.001470941
2017,8443.4,SA,Gold,9.309163305,0.001476042
1894,8469.0,NSW,Gold,9.337337817,0.00148051
1867,8474.5,TAS,Coal,,9.3015E-06
1989,8487.0,NSW,Iron Ore,,9.31527E-06
1905,8529.7,NSW,Gold,9.404303969,0.001491128
2019,8544.7,SA,Gold,9.420820317,0.001493746
1973,8587.0,WA,Gold,9.467475193,0.001501144
1933,8689.8,QLD,Iron Ore,,9.53791E-06
1933,8689.8,VIC,Iron Ore,,9.53791E-06
1886,8692.1,QLD,Gold,9.58332613,0.001519513
1989,8750.0,NSW,Gold,9.647188534,0.001529639
1898,8798.6,NSW,Gold,9.700799779,0.001538139
2009,8900.1,SA,Gold,9.812717224,0.001555885
1882,8943.8,TAS,Coal,,9.8167E-06
1883,9014.0,TAS,Coal,,9.89364E-06
1865,9014.6,NSW,Gold,9.938935943,0.001575898
2009,9082.2,NT,Gold,10.01346666,0.001587715
1987,9129.0,NT,Gold,10.06504961,0.001595894
1871,9155.5,NSW,Gold,10.0942645,0.001600526
1868,9198.9,TAS,Coal,,1.00966E-05
1859,9218.8,NSW,Gold,10.16404234,0.00161159
1904,9221.2,NSW,Iron Ore,,1.01211E-05
2012,9262.9,NT,Gold,10.21267291,0.001619301
1985,9276.0,QLD,Gold,10.22712238,0.001621592
2003,9315.1,TAS,Gold,10.2702193,0.001628425
2001,9329.0,NSW,Iron Ore,,1.02394E-05
2018,9352.2,SA,Gold,10.31112724,0.001634912
1947,9385.8,NSW,Iron Ore,,1.03018E-05
1874,9424.4,TAS,Coal,,1.03442E-05
2011,9435.9,NT,Gold,10.40340888,0.001649544
1864,9554.1,NSW,Gold,10.53374487,0.001670209
1948,9579.9,NSW,Iron Ore,,1.05148E-05
1877,9621.5,TAS,Coal,,1.05605E-05
1895,9634.7,NSW,Gold,10.62255303,0.001684291
1877,9644.4,QLD,Gold,10.63331974,0.001685998
1879,9666.2,TAS,Coal,,1.06096E-05
1871,9679.4,TAS,Coal,,1.06241E-05
1851,13495.6,QLD,Gold,14.87939946,0.002359248
1852,13513.8,QLD,Gold,14.89948628,0.002362433
1995,9743.7,NSW,Gold,10.74273506,0.001703347
2016,9826.6,SA,Gold,10.8341937,0.001717848
1853,13614.0,QLD,Gold,15.00988307,0.002379937
1854,13655.1,QLD,Gold,15.05521753,0.002387125
1874,9928.6,QLD,Gold,10.9465828,0.001735668
1870,9942.6,TAS,Coal,,1.09129E-05
1855,13728.6,QLD,Gold,15.1363126,0.002399983
1903,9964.9,QLD,Iron Ore,,1.09374E-05
1903,9964.9,VIC,Iron Ore,,1.09374E-05
1856,13843.8,QLD,Gold,15.26333321,0.002420123
1987,9996.0,NSW,Iron Ore,,1.09715E-05
1857,13921.8,QLD,Gold,15.34923918,0.002433745
1858,13960.3,QLD,Gold,15.39170503,0.002440478
1873,10223.7,NSW,Gold,11.27194983,0.001787258
1915,10234.0,VIC,Gold,11.28336803,0.001789068
1882,10772.7,SA,Iron Ore,,1.1824E-05
1873,10309.4,TAS,Coal,,1.13155E-05
2010,10319.9,NT,Gold,11.37811012,0.00180409
2017,10376.2,VIC,Gold,11.4401456,0.001813927
1869,10420.1,TAS,Coal,,1.1437E-05
1972,10471.0,WA,Gold,11.5446527,0.001830497
1949,10478.0,NSW,Iron Ore,,1.15006E-05
1876,10529.2,QLD,Gold,11.60883793,0.001840674
1886,10557.3,TAS,Coal,,1.15876E-05
2004,10598.0,TAS,Gold,11.68463488,0.001852692
1860,10728.8,NSW,Gold,11.82890386,0.001875567
1971,10734.0,WA,Gold,11.83461963,0.001876474
1977,10747.0,WA,Gold,11.84895259,0.001878746
1865,10803.8,VIC,Iron Ore,,1.18582E-05
1912,10821.1,QLD,Gold,11.93067321,0.001891704
1887,10850.5,QLD,Gold,11.9630419,0.001896836
1970,10898.0,WA,Gold,12.0154355,0.001905143
1875,10970.9,QLD,Gold,12.09580838,0.001917887
1899,11092.0,NSW,Iron Ore,,1.21745E-05
1996,11102.3,NSW,Gold,12.24069751,0.00194086
1986,11123.0,QLD,Gold,12.26350606,0.001944477
1980,11233.0,WA,Gold,12.38478501,0.001963707
1967,11263.0,QLD,Iron Ore,,1.23622E-05
1967,11263.0,VIC,Iron Ore,,1.23622E-05
1869,11297.9,QLD,Coal,,1.24005E-05
1869,11297.9,VIC,Coal,,1.24005E-05
1881,11341.6,TAS,Coal,,1.24485E-05
1929,11408.7,NSW,Iron Ore,,1.25221E-05
1979,11582.0,WA,Gold,12.76957001,0.002024717
1977,11659.0,NSW,Iron Ore,,1.27968E-05
1991,11676.0,NSW,Iron Ore,,1.28155E-05
1997,11715.4,NSW,Gold,12.91661195,0.002048032
1981,11724.0,WA,Gold,12.9261301,0.002049541
1929,11730.2,WA,Gold,12.93293671,0.00205062
2015,11789.6,SA,Gold,12.99847421,0.002061012
1998,11791.0,NSW,Iron Ore,,1.29417E-05
2020,11839.6,SA,Gold,13.05358257,0.00206975
1899,11885.2,NSW,Gold,13.10390099,0.002077728
1951,11891.3,NSW,Iron Ore,,1.30518E-05
1950,11926.8,NSW,Iron Ore,,1.30908E-05
1988,11970.0,NT,Gold,13.19735391,0.002092546
2021,12008.8,SA,Gold,13.24010053,0.002099324
1911,12009.7,QLD,Gold,13.24115932,0.002099492
1872,12037.9,NSW,Gold,13.27225932,0.002104423
1928,12235.0,WA,Gold,13.48951356,0.00213887
1935,12262.1,NSW,Iron Ore,,1.34588E-05
2013,12351.4,NT,Gold,13.61783455,0.002159217
1888,12376.9,QLD,Gold,13.64600794,0.002163684
1880,12414.5,TAS,Coal,,1.36261E-05
2013,12429.4,SA,Gold,13.70387492,0.002172859
1900,12447.0,WA,Iron Ore,,1.36617E-05
1878,12508.0,TAS,Coal,,1.37287E-05
1952,12512.0,NSW,Iron Ore,,1.37331E-05
1982,12523.0,NSW,Iron Ore,,1.37451E-05
1860,12524.2,QLD,Coal,,1.37465E-05
1860,12524.2,VIC,Coal,,1.37465E-05
2014,12586.4,SA,Gold,13.87699655,0.002200309
1907,12654.3,SA,Coal,,1.38892E-05
2012,12662.5,SA,Gold,13.96089866,0.002213612
1992,12694.0,NSW,Iron Ore,,1.39328E-05
1927,12699.8,WA,Gold,14.00196064,0.002220123
1949,12724.4,WA,Iron Ore,,1.39662E-05
1969,12786.0,QLD,Iron Ore,,1.40338E-05
1969,12786.0,VIC,Iron Ore,,1.40338E-05
1914,12851.1,VIC,Gold,14.16877596,0.002246573
1946,12888.0,NSW,Iron Ore,,1.41457E-05
1960,12926.6,NSW,Iron Ore,,1.41881E-05
1878,12931.0,VIC,Iron Ore,,1.4193E-05
1930,12984.8,WA,Gold,14.31621808,0.002269951
2018,12989.9,VIC,Gold,14.32186356,0.002270846
1864,13007.3,VIC,Iron Ore,,1.42767E-05
1899,13057.6,WA,Iron Ore,,1.4332E-05
2021,13144.8,QLD,Gold,14.49264118,0.002297924
2014,13148.7,NT,Gold,14.49689347,0.002298598
1863,13150.8,NSW,Gold,14.49918346,0.002298961
1861,13224.0,NSW,Gold,14.57993374,0.002311765
1978,13332.0,WA,Gold,14.69900772,0.002330645
2020,13479.9,QLD,Gold,14.86207637,0.002356501
2010,13498.6,SA,Gold,14.88272057,0.002359774
1913,13526.4,VIC,Gold,14.91335865,0.002364632
1926,13601.4,WA,Gold,14.99599482,0.002377735
2017,13673.0,NT,Gold,15.07493112,0.002390251
1900,13674.9,NSW,Iron Ore,,1.50094E-05
1969,13720.0,WA,Gold,15.12679162,0.002398474
1925,13722.9,WA,Gold,15.13002999,0.002398987
1910,13727.6,QLD,Gold,15.13517332,0.002399803
1902,13963.2,NSW,Iron Ore,,1.53259E-05
1853,13974.0,NSW,Gold,15.4068097,0.002442873
2006,14026.4,NT,Gold,15.46455371,0.002452029
1997,14053.0,NSW,Iron Ore,,1.54245E-05
1999,14073.0,NSW,Iron Ore,,1.54464E-05
1909,14168.5,QLD,Gold,15.62132084,0.002476885
2021,14276.5,NT,Gold,15.74034656,0.002495758
2008,14301.2,NT,Gold,15.76757496,0.002500075
1984,14384.0,NSW,Iron Ore,,1.57878E-05
1861,14439.4,QLD,Coal,,1.58486E-05
1861,14439.4,VIC,Coal,,1.58486E-05
1852,14451.2,TAS,Coal,,1.58615E-05
1908,14464.1,QLD,Gold,15.94723649,0.002528562
1907,14488.9,QLD,Gold,15.97453043,0.002532889
1944,14500.8,WA,Gold,15.98769735,0.002534977
1945,14571.9,WA,Gold,16.0660817,0.002547406
2011,14729.0,SA,Gold,16.23920238,0.002574855
1998,14768.0,NSW,Gold,16.28219983,0.002581673
1891,14865.1,QLD,Gold,16.38925424,0.002598647
1912,14932.1,VIC,Gold,16.46314675,0.002610364
2019,14988.6,QLD,Gold,16.52547779,0.002620247
1963,15057.1,NSW,Iron Ore,,1.65266E-05
1924,15084.6,WA,Gold,16.63129934,0.002637025
1950,15133.3,WA,Iron Ore,,1.66102E-05
2010,15209.1,QLD,Gold,16.76857869,0.002658792
2020,15421.4,NT,Gold,17.00262633,0.002695902
2018,15427.3,NT,Gold,17.00917624,0.002696941
1877,15446.2,VIC,Iron Ore,,1.69536E-05
1863,15455.8,VIC,Iron Ore,,1.69642E-05
1987,15495.0,QLD,Gold,17.08379272,0.002708772
2012,15528.6,QLD,Gold,17.12079896,0.00271464
2019,15551.7,NT,Gold,17.14634701,0.00271869
1896,15616.7,QLD,Gold,17.2180161,0.002730054
2009,15650.8,QLD,Gold,17.25554524,0.002736005
1911,15674.4,VIC,Gold,17.28158765,0.002740134
1923,15690.3,WA,Gold,17.29910926,0.002742912
1895,15745.5,QLD,Gold,17.35993771,0.002752557
1912,15774.4,QLD,Iron Ore,,1.73139E-05
1912,15774.4,VIC,Iron Ore,,1.73139E-05
1892,15846.7,QLD,Gold,17.47158225,0.002770259
1893,15871.6,QLD,Gold,17.49904763,0.002774614
1931,15878.8,WA,Gold,17.50693407,0.002775864
1890,15979.8,QLD,Gold,17.61827001,0.002793518
1968,16046.0,WA,Gold,17.69130529,0.002805098
1897,16186.6,VIC,Iron Ore,,1.77662E-05
1898,16213.0,VIC,Iron Ore,,1.77952E-05
1899,16296.4,VIC,Iron Ore,,1.78868E-05
1895,16326.3,VIC,Iron Ore,,1.79196E-05
1896,16352.5,VIC,Iron Ore,,1.79483E-05
1879,16370.3,VIC,Iron Ore,,1.79679E-05
1909,16377.9,SA,Iron Ore,,1.79763E-05
2015,16475.3,NT,Gold,18.16456568,0.002880137
2011,16487.6,QLD,Gold,18.17822167,0.002882302
1894,16505.9,VIC,Iron Ore,,1.81168E-05
2007,16535.5,NT,Gold,18.23100576,0.002890672
1900,16544.3,VIC,Iron Ore,,1.81588E-05
2005,16545.7,NT,Gold,18.2422363,0.002892452
1880,16611.6,VIC,Iron Ore,,1.82327E-05
2014,16649.3,QLD,Gold,18.35639901,0.002910554
2013,16657.7,QLD,Gold,18.36576092,0.002912038
1851,16698.3,QLD,Iron Ore,,1.83279E-05
1852,16698.3,QLD,Iron Ore,,1.83279E-05
1853,16698.3,QLD,Iron Ore,,1.83279E-05
1854,16698.3,QLD,Iron Ore,,1.83279E-05
1855,16698.3,QLD,Iron Ore,,1.83279E-05
1856,16698.3,QLD,Iron Ore,,1.83279E-05
1857,16698.3,QLD,Iron Ore,,1.83279E-05
1858,16698.3,QLD,Iron Ore,,1.83279E-05
1859,16698.3,QLD,Iron Ore,,1.83279E-05
1860,16698.3,QLD,Iron Ore,,1.83279E-05
1861,16698.3,QLD,Iron Ore,,1.83279E-05
1862,16698.3,QLD,Iron Ore,,1.83279E-05
1863,16698.3,QLD,Iron Ore,,1.83279E-05
1864,16698.3,QLD,Iron Ore,,1.83279E-05
1865,16698.3,QLD,Iron Ore,,1.83279E-05
1866,16698.3,QLD,Iron Ore,,1.83279E-05
1867,16698.3,QLD,Iron Ore,,1.83279E-05
1868,16698.3,QLD,Iron Ore,,1.83279E-05
1869,16698.3,QLD,Iron Ore,,1.83279E-05
1870,16698.3,QLD,Iron Ore,,1.83279E-05
1871,16698.3,QLD,Iron Ore,,1.83279E-05
1872,16698.3,QLD,Iron Ore,,1.83279E-05
1873,16698.3,QLD,Iron Ore,,1.83279E-05
1874,16698.3,QLD,Iron Ore,,1.83279E-05
1875,16698.3,QLD,Iron Ore,,1.83279E-05
1876,16698.3,QLD,Iron Ore,,1.83279E-05
1877,16698.3,QLD,Iron Ore,,1.83279E-05
1878,16698.3,QLD,Iron Ore,,1.83279E-05
1879,16698.3,QLD,Iron Ore,,1.83279E-05
1880,16698.3,QLD,Iron Ore,,1.83279E-05
1881,16698.3,QLD,Iron Ore,,1.83279E-05
1882,16698.3,QLD,Iron Ore,,1.83279E-05
1883,16698.3,QLD,Iron Ore,,1.83279E-05
1884,16698.3,QLD,Iron Ore,,1.83279E-05
1885,16698.3,QLD,Iron Ore,,1.83279E-05
1886,16698.3,QLD,Iron Ore,,1.83279E-05
1887,16698.3,QLD,Iron Ore,,1.83279E-05
1888,16698.3,QLD,Iron Ore,,1.83279E-05
1889,16698.3,QLD,Iron Ore,,1.83279E-05
1890,16698.3,QLD,Iron Ore,,1.83279E-05
1891,16698.3,QLD,Iron Ore,,1.83279E-05
1892,16698.3,QLD,Iron Ore,,1.83279E-05
1893,16698.3,QLD,Iron Ore,,1.83279E-05
1894,16698.3,QLD,Iron Ore,,1.83279E-05
1895,16698.3,QLD,Iron Ore,,1.83279E-05
1896,16698.3,QLD,Iron Ore,,1.83279E-05
1897,16698.3,QLD,Iron Ore,,1.83279E-05
1898,16698.3,QLD,Iron Ore,,1.83279E-05
1899,16698.3,QLD,Iron Ore,,1.83279E-05
1900,16698.3,QLD,Iron Ore,,1.83279E-05
1893,16701.4,VIC,Iron Ore,,1.83313E-05
1922,16739.5,WA,Gold,18.4558441,0.002926322
2016,16764.8,NT,Gold,18.48376208,0.002930748
1881,16828.6,VIC,Iron Ore,,1.8471E-05
1883,17098.1,SA,Iron Ore,,1.87668E-05
1889,16845.8,VIC,Iron Ore,,1.84898E-05
1891,16880.6,VIC,Gold,18.61141268,0.002950988
1964,16910.3,NSW,Iron Ore,,1.85606E-05
1892,16921.0,VIC,Iron Ore,,1.85724E-05
1890,16926.7,VIC,Iron Ore,,1.85786E-05
1906,16938.2,QLD,Gold,18.67494994,0.002961063
1888,16939.8,VIC,Iron Ore,,1.8593E-05
1943,16995.4,WA,Gold,18.73800717,0.002971061
1882,17031.0,VIC,Iron Ore,,1.86931E-05
1989,17060.0,NT,Gold,18.8092613,0.002982359
1894,17061.3,QLD,Gold,18.81069956,0.002982587
1891,17061.6,VIC,Iron Ore,,1.87267E-05
1993,17090.2,NT,Gold,18.84253223,0.002987634
2001,17103.4,NSW,Gold,18.85715097,0.002989952
1887,17156.6,VIC,Iron Ore,,1.8831E-05
1921,17221.0,WA,Gold,18.98680717,0.00301051
1890,17236.7,VIC,Gold,19.00408875,0.00301325
1871,17272.0,QLD,Coal,,1.89576E-05
1871,17272.0,VIC,Coal,,1.89576E-05
1883,17287.9,VIC,Iron Ore,,1.89751E-05
1991,17303.0,NT,Gold,19.07717751,0.003024839
1886,17419.1,VIC,Iron Ore,,1.9119E-05
1994,17422.7,NT,Gold,19.20912112,0.00304576
1968,17423.4,NSW,Iron Ore,,1.91238E-05
1885,17505.2,VIC,Iron Ore,,1.92136E-05
1884,17544.0,VIC,Iron Ore,,1.92562E-05
1968,17554.0,QLD,Iron Ore,,1.92671E-05
1968,17554.0,VIC,Iron Ore,,1.92671E-05
1862,17579.7,VIC,Iron Ore,,1.92954E-05
2018,17664.6,QLD,Gold,19.47581542,0.003088046
1910,17738.9,VIC,Gold,19.55778534,0.003101043
1967,17843.8,WA,Gold,19.67340739,0.003119376
1889,18006.3,VIC,Gold,19.85260099,0.003147789
2002,18026.9,NT,Gold,19.87533406,0.003151393
1862,18068.0,NSW,Gold,19.9206301,0.003158575
1887,18091.6,VIC,Gold,19.94665535,0.003162702
1876,18145.9,VIC,Iron Ore,,1.99168E-05
2016,18190.6,QLD,Gold,20.05577347,0.003180003
1861,18237.3,VIC,Iron Ore,,2.00171E-05
1867,18275.8,QLD,Coal,,2.00594E-05
1867,18275.8,VIC,Coal,,2.00594E-05
1888,18304.7,VIC,Gold,20.18153407,0.003199944
2015,18348.3,QLD,Gold,20.22970601,0.003207582
1976,18405.0,NSW,Iron Ore,,2.02012E-05
1905,18430.5,QLD,Gold,20.32033539,0.003221952
1995,18447.9,NT,Gold,20.33951119,0.003224992
2000,18582.2,NSW,Gold,20.48757023,0.003248468
1901,18609.7,QLD,Gold,20.51783925,0.003253267
1992,18640.0,NT,Gold,20.55126792,0.003258568
1897,18689.5,QLD,Gold,20.60585877,0.003267224
1897,18779.6,WA,Gold,20.70519361,0.003282974
1932,18832.9,WA,Gold,20.76399901,0.003292298
1860,18883.5,VIC,Iron Ore,,2.07264E-05
1950,18981.4,WA,Gold,20.92762547,0.003318242
1990,19042.0,NT,Gold,20.99448732,0.003328844
2008,19145.8,QLD,Gold,21.10893639,0.003346991
1892,19166.6,VIC,Gold,21.13181566,0.003350618
1946,19187.6,WA,Gold,21.15499493,0.003354294
1920,19214.9,WA,Gold,21.18510055,0.003359067
1886,19481.1,VIC,Gold,21.47861323,0.003405606
1852,19482.3,NSW,Gold,21.47991621,0.003405812
1966,19501.3,WA,Gold,21.50090099,0.00340914
1893,19654.8,VIC,Gold,21.67008225,0.003435965
1889,19736.2,QLD,Gold,21.75988479,0.003450204
1933,19817.1,WA,Gold,21.84910441,0.00346435
1962,19821.1,NSW,Iron Ore,,2.17555E-05
1851,19847.0,TAS,Coal,,2.17839E-05
1904,19877.6,QLD,Gold,21.91572767,0.003474914
1902,19918.4,QLD,Gold,21.96074895,0.003482052
1868,19924.8,QLD,Coal,,2.18693E-05
1868,19924.8,VIC,Coal,,2.18693E-05
1920,20024.3,QLD,Iron Ore,,2.19786E-05
1920,20024.3,VIC,Iron Ore,,2.19786E-05
1961,20063.0,NSW,Iron Ore,,2.20209E-05
1898,20136.8,QLD,Gold,22.20159394,0.00352024
1951,20160.4,WA,Gold,22.2275849,0.003524361
2017,20165.3,QLD,Gold,22.23294802,0.003525212
1949,20166.0,WA,Gold,22.23379118,0.003525345
1935,20185.4,WA,Gold,22.25515314,0.003528732
1934,20256.6,WA,Gold,22.33364035,0.003541177
1909,20346.3,VIC,Gold,22.43252944,0.003556857
1998,20390.9,NT,Gold,22.48173061,0.003564658
1965,20412.6,WA,Gold,22.50566759,0.003568453
1859,20429.2,VIC,Iron Ore,,2.2423E-05
2001,20508.1,NT,Gold,22.61089896,0.003585139
1982,20603.0,WA,Gold,22.71554576,0.003601731
1875,20603.4,VIC,Iron Ore,,2.26141E-05
1948,20681.1,WA,Gold,22.80161477,0.003615378
1899,20781.9,QLD,Gold,22.91274498,0.003632999
1903,20791.8,QLD,Gold,22.92368313,0.003634733
1999,20840.0,QLD,Iron Ore,,2.28738E-05
1999,20840.0,VIC,Iron Ore,,2.28738E-05
1908,20874.6,VIC,Gold,23.01499438,0.003649211
1901,20898.1,WA,Iron Ore,,2.29376E-05
1911,20969.2,QLD,Iron Ore,,2.30157E-05
1911,20969.2,VIC,Iron Ore,,2.30157E-05
1894,20996.9,VIC,Gold,23.14981819,0.003670589
1900,21024.4,QLD,Gold,23.18019813,0.003675406
1999,21042.5,NSW,Gold,23.20010927,0.003678563
1993,21046.0,QLD,Iron Ore,,2.30999E-05
1993,21046.0,VIC,Iron Ore,,2.30999E-05
1996,21325.0,NT,Gold,23.51161477,0.003727954
1874,21491.3,VIC,Iron Ore,,2.35887E-05
1885,21531.8,VIC,Gold,23.73955237,0.003764096
1907,21632.4,VIC,Gold,23.85051114,0.003781689
1895,21674.3,VIC,Gold,23.89673252,0.003789018
2021,21880.7,VIC,Gold,24.12420523,0.003825086
1947,21890.9,WA,Gold,24.1354516,0.003826869
1878,22200.1,VIC,Gold,24.47645436,0.003880937
1879,22226.7,VIC,Gold,24.50573705,0.00388558
1964,22251.5,WA,Gold,24.53303098,0.003889908
2004,22271.3,NT,Gold,24.55493359,0.003893381
1999,22296.5,NT,Gold,24.58268089,0.003897781
1902,22418.9,VIC,Gold,24.71767652,0.003919185
1983,22422.0,NSW,Iron Ore,,2.46102E-05
2006,22502.3,QLD,Gold,24.80961568,0.003933763
1952,22624.3,WA,Gold,24.94408589,0.003955084
1970,22627.0,QLD,Iron Ore,,2.48352E-05
1970,22627.0,VIC,Iron Ore,,2.48352E-05
1901,22717.1,VIC,Gold,25.04640386,0.003971308
1858,22786.4,VIC,Iron Ore,,2.50101E-05
1884,22802.8,VIC,Gold,25.14090397,0.003986291
1873,22805.5,VIC,Iron Ore,,2.50312E-05
1919,22829.5,WA,Gold,25.17028953,0.003990951
2003,22846.9,NT,Gold,25.1895443,0.003994004
1883,22850.7,VIC,Gold,25.19370882,0.003994664
2007,22912.3,QLD,Gold,25.26165654,0.004005438
1870,23001.2,QLD,Coal,,2.5246E-05
1870,23001.2,VIC,Coal,,2.5246E-05
1998,23116.0,QLD,Iron Ore,,2.53719E-05
1998,23116.0,VIC,Iron Ore,,2.53719E-05
2000,23146.5,NT,Gold,25.5198592,0.004046378
2004,23164.6,QLD,Gold,25.53979797,0.004049539
1905,23236.9,VIC,Gold,25.61947365,0.004062172
2002,23483.2,NSW,Gold,25.89101981,0.004105228
1896,23578.0,VIC,Gold,25.99555391,0.004121803
1900,23645.9,VIC,Gold,26.07047508,0.004133682
1903,23686.5,NSW,Iron Ore,,2.59981E-05
1877,23711.7,VIC,Gold,26.14299603,0.004145181
1872,23738.5,VIC,Iron Ore,,2.60551E-05
1897,23802.9,VIC,Gold,26.24353098,0.004161122
1904,23810.2,VIC,Gold,26.25155458,0.004162394
1903,23862.9,VIC,Gold,26.30974278,0.00417162
1884,24541.4,SA,Iron Ore,,2.69364E-05
1983,23919.0,WA,Gold,26.37155458,0.004181421
2019,24006.4,VIC,Gold,26.46788998,0.004196696
1906,24018.2,VIC,Gold,26.48094708,0.004198766
1967,24169.6,NSW,Iron Ore,,2.65284E-05
1880,24281.9,VIC,Gold,26.77161378,0.004244853
1997,24331.6,NT,Gold,26.82641877,0.004253543
1863,24384.0,QLD,Coal,,2.67637E-05
1863,24384.0,VIC,Coal,,2.67637E-05
1881,24406.5,VIC,Gold,26.90904355,0.004266644
1862,24452.1,QLD,Coal,,2.68384E-05
1862,24452.1,VIC,Coal,,2.68384E-05
1898,24520.1,VIC,Gold,27.03430077,0.004286504
1995,24551.0,QLD,Iron Ore,,2.6947E-05
1995,24551.0,VIC,Iron Ore,,2.6947E-05
2005,24618.2,QLD,Gold,27.14249814,0.00430366
1988,24780.0,QLD,Gold,27.32083793,0.004331937
1997,24909.0,QLD,Iron Ore,,2.73399E-05
1997,24909.0,VIC,Iron Ore,,2.73399E-05
1963,24968.9,WA,Gold,27.52915766,0.004364968
1899,25025.1,VIC,Gold,27.59108335,0.004374787
2002,25064.0,QLD,Gold,27.63393695,0.004381582
1919,25070.8,QLD,Iron Ore,,2.75175E-05
1919,25070.8,VIC,Iron Ore,,2.75175E-05
2009,25243.0,NSW,Gold,27.83126462,0.004412869
1956,25301.0,WA,Gold,27.89525987,0.004423016
1882,25321.2,VIC,Gold,27.91751334,0.004426545
1975,25328.0,NSW,Iron Ore,,2.77998E-05
1965,25346.2,NSW,Iron Ore,,2.78197E-05
1864,25400.0,QLD,Coal,,2.78788E-05
1864,25400.0,VIC,Coal,,2.78788E-05
1857,25416.0,VIC,Iron Ore,,2.78964E-05
1917,25466.0,QLD,Iron Ore,,2.79513E-05
1917,25466.0,VIC,Iron Ore,,2.79513E-05
1953,25597.2,WA,Gold,28.2218613,0.004474802
2012,25816.9,NSW,Gold,28.46410199,0.004513211
