Year,Production,State,Mineral Type,Gold(t),Production(normalised)
1926,131.3,TAS,Gold,0.144801874,2.29595E-05
1885,133.9,SA,Gold,0.147682139,2.34162E-05
1873,134.6,TAS,Gold,0.148436494,2.35358E-05
1874,135.4,TAS,Gold,0.149259427,2.36663E-05
1887,135.6,WA,Gold,0.14946516,2.36989E-05
1930,138.9,TAS,Gold,0.153168357,2.42861E-05
1857,140.0,SA,Gold,0.154355017,2.44742E-05
1924,143.9,TAS,Gold,0.158620287,2.51505E-05
1931,148.0,TAS,Gold,0.163214994,2.5879E-05
1871,149.9,SA,Iron Ore,,1.64485E-07
1875,149.9,SA,Iron Ore,,1.64485E-07
1856,150.0,SA,Gold,0.165380375,2.62224E-05
1907,150.4,SA,Gold,0.165820948,2.62922E-05
1927,151.2,TAS,Gold,0.16667817,2.64282E-05
1890,152.4,SA,Gold,0.167981147,2.66348E-05
1942,152.4,WA,Iron Ore,,1.67273E-07
1895,154.8,NSW,Iron Ore,,1.69894E-07
1935,157.6,NT,Gold,0.173707387,2.75427E-05
1907,158.7,NT,Gold,0.175010364,2.77493E-05
1938,164.6,SA,Gold,0.18145667,2.87714E-05
1954,164.6,QLD,Iron Ore,,1.80655E-07
1954,164.6,VIC,Iron Ore,,1.80655E-07
1912,166.0,NT,Gold,0.182999669,2.90161E-05
1921,166.1,TAS,Gold,0.183102536,2.90324E-05
1877,170.5,TAS,Gold,0.188005843,2.98098E-05
1944,170.8,NT,Gold,0.188280154,2.98533E-05
1871,171.8,TAS,Gold,0.189445976,3.00382E-05
1929,174.1,TAS,Gold,0.191914774,3.04296E-05
1934,174.8,TAS,Gold,0.192771996,3.05655E-05
1908,177.1,NT,Gold,0.195275083,3.09624E-05
1855,180.0,SA,Gold,0.19845645,3.14669E-05
1902,182.2,SA,Gold,0.200829879,3.18432E-05
1932,184.6,TAS,Gold,0.203572988,3.22781E-05
1910,186.8,NT,Gold,0.206007497,3.26641E-05
1915,189.1,SA,Gold,0.208510584,3.3061E-05
1895,191.0,SA,Gold,0.210636494,3.33981E-05
1892,191.1,SA,Gold,0.210670783,3.34035E-05
1918,192.2,SA,Gold,0.211905182,3.35993E-05
1920,194.3,TAS,Gold,0.214168247,3.39581E-05
1914,194.6,SA,Gold,0.214579713,3.40233E-05
1906,197.7,SA,Gold,0.217940022,3.45561E-05
1933,197.8,SA,Gold,0.218111466,3.45833E-05
1872,200.0,TAS,Gold,0.220477398,3.49585E-05
1868,200.0,SA,Gold,0.220507166,3.49632E-05
1872,200.0,SA,Gold,0.220507166,3.49632E-05
1891,200.5,SA,Gold,0.22102602,3.50454E-05
1923,203.2,QLD,Iron Ore,,2.23031E-07
1923,203.2,VIC,Iron Ore,,2.23031E-07
1913,203.5,SA,Gold,0.224420617,3.55837E-05
1910,205.0,SA,Gold,0.226032194,3.58392E-05
1912,205.0,SA,Gold,0.226032194,3.58392E-05
1933,207.5,TAS,Gold,0.228809592,3.62796E-05
1903,209.9,SA,Gold,0.231381257,3.66873E-05
1934,213.7,SA,Gold,0.235564498,3.73506E-05
1975,216.0,VIC,Gold,0.23814774,3.77602E-05
1937,216.5,SA,Gold,0.238719074,3.78508E-05
1909,221.2,SA,Gold,0.243828115,3.86609E-05
1940,221.5,NSW,Iron Ore,,2.43104E-07
1917,222.1,SA,Gold,0.244856781,3.8824E-05
1903,223.5,WA,Iron Ore,,2.45334E-07
1945,223.7,NT,Gold,0.246639802,3.91067E-05
1911,226.3,NT,Gold,0.249520066,3.95634E-05
1909,227.7,NT,Gold,0.251097354,3.98135E-05
1935,228.1,SA,Gold,0.251440243,3.98679E-05
1891,232.4,NSW,Iron Ore,,2.55091E-07
1929,233.1,NSW,Gold,0.257029327,4.07541E-05
1897,233.7,NSW,Iron Ore,,2.56541E-07
1886,238.2,SA,Gold,0.262618412,4.16402E-05
1936,238.9,SA,Gold,0.263372767,4.17599E-05
1919,239.0,TAS,Gold,0.263544212,4.1787E-05
1916,241.6,SA,Gold,0.266390187,4.22383E-05
1930,243.2,QLD,Gold,0.268173208,4.2521E-05
1894,245.1,SA,Gold,0.270264829,4.28526E-05
1888,250.4,SA,Gold,0.276093936,4.37769E-05
1946,251.0,TAS,Iron Ore,,2.75443E-07
1970,253.0,VIC,Gold,0.278941566,4.42284E-05
1888,254.8,NT,Gold,0.280928666,4.45435E-05
1935,259.5,TAS,Gold,0.286071996,4.5359E-05
1969,266.2,VIC,Gold,0.293444101,4.65279E-05
1968,269.6,NSW,Gold,0.297215877,4.7126E-05
1936,272.2,NT,Gold,0.30013043,4.75881E-05
1889,273.1,SA,Gold,0.301124807,4.77457E-05
1989,280.0,SA,Gold,0.308710033,4.89484E-05
1974,282.0,NSW,Gold,0.310915105,4.92981E-05
1966,282.3,NSW,Gold,0.311274311,4.9355E-05
1897,286.3,SA,Gold,0.315663286,5.00509E-05
1929,294.7,QLD,Gold,0.324921279,5.15189E-05
1973,297.0,NSW,Gold,0.327453142,5.19203E-05
1879,297.7,SA,Iron Ore,,3.2674E-07
1965,299.8,NSW,Gold,0.330544653,5.24105E-05
1946,304.5,NT,Gold,0.335722271,5.32314E-05
1971,305.0,NSW,Gold,0.336273429,5.33188E-05
1904,307.9,NT,Gold,0.339459757,5.38241E-05
1972,310.0,NSW,Gold,0.341786108,5.41929E-05
