Name,State,Latitude,Longitude,Status,Commodity Group,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Mineral Type
O'Connor,WA,-33.1871,122.8422,Mineral deposit,Rare Earth Elements (REE),,,,,,Other
Olympia,WA,-26.8204,122.1873,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Olympic Dam,SA,-30.4403,136.8894,Operating mine,Rare Earth Elements (REE),,,,,,Other
Overlander,QLD,-21.0338,139.9095,Mineral deposit,Cobalt,,,,,,Rare Earth Elements (REE) and Specialty Elements
Owendale,NSW,-32.5750,147.3844,Mine - under development,"Scandium , Cobalt , PGE , Nickel",,,,,,Other
Pacific Express,NSW,-31.5205,152.7904,Mineral deposit,"Scandium , Cobalt , PGE , Nickel",,,,,,Other
Panton,WA,-17.7515,127.8316,Mineral deposit,"Platinum Group Elements (PGE) , Cobalt , Nickel",,,,,,Other
Parks Reef,WA,-26.8450,117.7392,Mineral deposit,"Platinum Group Elements (PGE) , Cobalt , Nickel",,,,,,Other
Peak Hill,WA,-25.4572,118.605,Mineral deposit,Manganese Ore,,,,,,Base Metals and Alloys
Peko Tailings,NT,-19.6782,134.2838,Operating mine,Cobalt,,,,,,Rare Earth Elements (REE) and Specialty Elements
Pelican,WA,-28.7789,122.5753,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Perponda South,SA,-32.3074,138.4387,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Perry Creek,QLD,-18.7297,145.3347,Mineral deposit,Tungsten,,,,,,Base Metals and Alloys
Phoenix,NSW,-34.4685,143.3073,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Pilgangoora,WA,-21.0723,118.8953,Operating mine,"Lithium , Tantalum , Niobium",,,,,,Other
Pinnacles,QLD,-17.7021,145.1711,Mineral deposit,Fluorine,,,,,,"Silica, Graphite, and Fluorine"
Pinnacles,WA,-30.2758,122.3242,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Pioneer,WA,-31.9697,121.6431,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Pioneer Dome,WA,-31.9103,121.6376,Mineral deposit,"Lithium , Tantalum , Niobium",,,,,,Other
Portia,SA,-31.4339,140.4511,Mineral deposit,Cobalt,,,,,,Rare Earth Elements (REE) and Specialty Elements
Princhester,QLD,-22.8620,149.977,Mineral deposit,Magnesium,,,,,,Base Metals and Alloys
Prospect Ridge-Arthur River,TAS,-41.1813,145.4488,Mineral deposit,Magnesium,,,,,,Base Metals and Alloys
Pug Hill,SA,-30.3094,138.1136,Mineral deposit,Magnesium,,,,,,Base Metals and Alloys
Puwanapi,NT,-11.7400,130.07,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Pyke Hill,WA,-29.0521,122.1529,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Quartz Hill,QLD,-18.0931,144.2399,Mineral deposit,Silicon,,,,,,"Silica, Graphite, and Fluorine"
Quicksilver,WA,-32.7435,118.6678,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Radio Hill,WA,-20.9825,116.8648,Mine - care and maintenance,"Nickel , Cobalt , PGE",,,,,,Other
Range Well,WA,-26.8212,117.7396,Mineral deposit,"Chromium , Cobalt, , PGE , Nickel",,,,,,Other
Ravensthorpe,WA,-33.6421,120.3963,Operating mine,"Nickel , Cobalt , PGE",,,,,,Other
Renner West,NT,-18.3373,133.6545,Mineral deposit,Manganese Ore,,,,,,Base Metals and Alloys
Richmond,QLD,-20.4652,142.8024,Mine - under development,Vanadium,,,,,,Base Metals and Alloys
Ripon Hills,WA,-21.2145,120.7433,Mineral deposit,Manganese Ore,,,,,,Base Metals and Alloys
Riverina,WA,-29.7493,120.5596,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Rocklands,QLD,-20.6724,140.3636,Mine - care and maintenance,Cobalt,,,,,,Rare Earth Elements (REE) and Specialty Elements
Rockley,NSW,-33.7168,149.5199,Mineral deposit,Silicon,,,,,,"Silica, Graphite, and Fluorine"
Rosie,WA,-27.6246,122.0143,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Rover 1,NT,-20.0021,133.6567,Mine - under development,"Bismuth , Cobalt , Indium",,,,,,Other
Ruth Well,WA,-20.8684,116.8655,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Saint Elmo,QLD,-20.5704,141.8848,Mine - under development,Vanadium,,,,,,Base Metals and Alloys
Saints,WA,-29.9986,121.1853,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Samarkand,NT,-22.7322,136.0899,Mineral deposit,Tungsten,,,,,,Base Metals and Alloys
Savage River,TAS,-41.4880,145.2044,Operating mine,Vanadium,,,,,,Base Metals and Alloys
Savannah,WA,-17.3526,128.0277,Operating mine,"Nickel , Cobalt , PGE",,,,,,Other
Sconi,QLD,-18.9721,144.9267,Mine - under development,"Scandium , Cobalt , PGE , Nickel",,,,,,Other
Scott River,WA,-34.2601,115.3346,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Screechowl Creek,SA,-29.8941,137.6598,Mineral deposit,Magnesium,,,,,,Base Metals and Alloys
Seymour,TAS,-41.7451,148.2901,Mineral deposit,Fluorine,,,,,,"Silica, Graphite, and Fluorine"
Sherlock Bay,WA,-20.8112,117.5406,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Si2 North,QLD,-15.0000,145.2,Mineral deposit,Silicon,,,,,,"Silica, Graphite, and Fluorine"
Siberia,WA,-30.2476,120.9321,Mineral deposit,"Scandium , Cobalt , PGE , Nickel",,,,,,Other
Sill 80,NT,-14.9372,134.0357,Operating mine,Titanium,,,,,,Base Metals and Alloys
Silver Knight,WA,-31.5915,123.441,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Sinclair,WA,-28.3741,120.8645,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Siviour,SA,-33.9180,136.4283,Mine - under development,Graphite,,,,,,"Silica, Graphite, and Fluorine"
Slopeaway,QLD,-22.9385,149.8306,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Sonoran,SA,-30.9473,132.2968,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
South Kambalda,WA,-31.6278,121.6613,Mine - care and maintenance,"Nickel , Cobalt , PGE",,,,,,Other
South Woodie Woodie,WA,-22.3405,121.2261,Mineral deposit,Manganese Ore,,,,,,Base Metals and Alloys
Spargoville,WA,-31.3181,121.4917,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Sparkler A,WA,-34.3878,116.7146,Mineral deposit,Silicon,,,,,,"Silica, Graphite, and Fluorine"
Speewah,WA,-16.3614,127.9495,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Speewah Valley,WA,-16.4041,127.9782,Mineral deposit,Fluorine,,,,,,"Silica, Graphite, and Fluorine"
Spinifex Ridge,WA,-20.8875,120.1118,Mine - care and maintenance,"Molybdenum, Rhenium",,,,,,Other
Splinter Rock,WA,-33.3114,123.0831,Mineral deposit,Rare Earth Elements (REE),,,,,,Other
Split Rocks,WA,-31.7657,119.5868,Mineral deposit,"Lithium , Tantalum , Niobium",,,,,,Other
Spotted Quoll ,WA,-32.4782,119.6778,Operating mine,"Nickel , Cobalt , PGE",,,,,,Other
Springdale,WA,-33.8938,120.3748,Mineral deposit,Graphite,,,,,,"Silica, Graphite, and Fluorine"
St Dizier,TAS,-41.8239,145.1352,Mineral deposit,Tungsten,,,,,,Base Metals and Alloys
Stanton,NT,-16.7300,137.75,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Stormont,TAS,-41.4978,146.037,Mineral deposit,"Bismuth , Cobalt , Indium",,,,,,Other
Sugarbag Hill ,Qld ,-18.4829,143.6457,Mineral deposit,Silicon,,,,,,"Silica, Graphite, and Fluorine"
Sunrise,NSW,-32.7567,147.4196,Mine - under development,"Scandium , Cobalt , PGE , Nickel",,,,,,Other
Tallebung,NSW,-32.7381,146.5807,Mineral deposit,Tungsten,,,,,,Base Metals and Alloys
Tambellup,WA,-34.0398,117.5314,Mineral deposit,High Purity Alumina,,,,,,Rare Earth Elements (REE) and Specialty Elements
Tampu,WA,-30.2232,117.8105,Mineral deposit,High Purity Alumina,,,,,,Rare Earth Elements (REE) and Specialty Elements
Termination Hill,SA,-30.2246,138.0242,Mineral deposit,Magnesium,,,,,,Base Metals and Alloys
The Horn,WA,-28.1674,120.9166,Mineral deposit,"Platinum Group Elements (PGE) , Cobalt , Nickel",,,,,,Other
Thuddungra,NSW,-34.1764,148.0505,Operating mine,Magnesium,,,,,,Base Metals and Alloys
Thunderbird,WA,-17.4317,122.9679,Operating mine,Titanium,,,,,,Base Metals and Alloys
Tiger,SA,-32.9114,134.738,Mineral deposit,High Purity Alumina,,,,,,Rare Earth Elements (REE) and Specialty Elements
TIO,QLD,-17.0960,144.2582,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Toolebuc,QLD,-20.4828,142.851,Mineral deposit,Vanadium,,,,,,Base Metals and Alloys
Torrington,NSW,-29.2697,151.6563,Mineral deposit,Tungsten,,,,,,Base Metals and Alloys
Tower,WA,-25.6230,117.154,Mineral deposit,Rare Earth Elements (REE),,,,,,Other
Tripitaka,SA,-31.5451,132.8047,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Triple Four,QLD,-22.8287,149.875,Mineral deposit,Magnesium,,,,,,Base Metals and Alloys
Trough Well,WA,-30.6732,118.8948,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Typhoon,SA,-30.9319,132.2536,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Uley 2,SA,-34.7992,135.7019,Mine - under development,Graphite,,,,,,"Silica, Graphite, and Fluorine"
Unaly Hill,WA,-28.3742,118.947,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Unicorn,VIC,-36.3386,147.9896,Mineral deposit,"Molybdenum, Rhenium",,,,,,Other
Urquhart,QLD,-12.7500,141.8,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Venus ,WA,-27.8150,120.704,Operating mine,"Nickel , Cobalt , PGE",,,,,,Other
Victory Bore,WA,-28.2619,118.989,Mineral deposit,Vanadium,,,,,,Base Metals and Alloys
Vulcan,QLD,-21.0506,140.5476,Mineral deposit,Cobalt,,,,,,Rare Earth Elements (REE) and Specialty Elements
Walford Creek,QLD,-17.7858,138.2847,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Waterloo,WA,-28.1438,120.978,Mine - care and maintenance,"Nickel , Cobalt , PGE",,,,,,Other
Watershed,QLD,-16.3393,144.8808,Mineral deposit,Tungsten,,,,,,Base Metals and Alloys
Wedderburn,VIC,-36.2167,143.6998,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
West Eucla,WA,-32.1852,123.1998,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
West Jordan,WA,-27.0167,120.4361,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
West Lynn,NSW,-31.4982,147.0391,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
West Mount Hut,SA,-30.0081,137.7763,Mineral deposit,Magnesium,,,,,,Base Metals and Alloys
West Orient,QLD,-17.3455,145.1841,Mineral deposit,Indium,,,,,,Rare Earth Elements (REE) and Specialty Elements
White Cloud,WA,-30.8363,117.6691,Mineral deposit,High Purity Alumina,,,,,,Rare Earth Elements (REE) and Specialty Elements
White Hill,WA,-26.7321,116.3843,Mineral deposit,Silicon,,,,,,"Silica, Graphite, and Fluorine"
White Rock,NSW,-34.4989,148.905,Mineral deposit,Tungsten,,,,,,Base Metals and Alloys
White Violet,NT,-22.7316,136.0725,Mineral deposit,Tungsten,,,,,,Base Metals and Alloys
Whitewash,QLD,-24.8065,150.875,Mineral deposit,"Molybdenum, Rhenium",,,,,,Other
Widgie North,WA,-31.4559,121.539,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
